company,role,location,education,years_of_experience,base_salary,annual_bonus,annual_stock,total_compensation,company_tier,remote_work
Intuit,Software Engineer,"Los Angeles, CA",Bachelor's,1,137494,22889,0,160383,Tier3,1
SAP,Senior Data Scientist,"Atlanta, GA",Master's,3,165688,27665,0,193353,Tier3,0
Netflix,Principal Engineer,"Denver, CO",Bootcamp,1,415859,68960,39068,523887,FAANG,0
Databricks,Product Manager,"Seattle, WA",Bachelor's,4,258070,46898,19850,324818,Tier2,1
Intuit,Senior Software Engineer,"Boston, MA",Self-taught,12,238169,42836,0,281005,Tier3,1
Amazon,Product Manager,"Chicago, IL",Bootcamp,2,227850,24051,17823,269724,FAANG,1
Early Stage Startup,Principal Engineer,"Denver, CO",Bachelor's,7,239499,21963,0,261462,Startup,0
Workday,Senior Data Scientist,"Boston, MA",Master's,5,245196,21349,0,266545,Tier3,0
Lyft,Software Engineer,"Seattle, WA",Bachelor's,4,247278,35956,25004,308238,Tier2,1
Microsoft,Data Scientist,"Seattle, WA",PhD,1,249280,22626,23873,295779,Tier2,0
Early Stage Startup,Senior Product Manager,"Los Angeles, CA",Bachelor's,0,194531,47164,0,241695,Startup,1
Meta,Product Manager,"San Francisco, CA",Master's,1,332530,60129,34608,427267,FAANG,0
Lyft,Product Manager,Remote,Master's,2,182918,13391,10273,206582,Tier2,0
Series B Startup,ML Engineer,"Los Angeles, CA",Bachelor's,8,199919,23163,0,223082,Startup,1
Airbnb,Senior Data Scientist,"Denver, CO",Bachelor's,3,208319,21979,22436,252734,Tier2,0
SAP,Data Scientist,"Austin, TX",Bachelor's,3,133973,23495,0,157468,Tier3,0
Airbnb,Engineering Manager,"Denver, CO",Master's,2,298073,33604,42859,374536,Tier2,1
Oracle,Senior Software Engineer,"Seattle, WA",Bachelor's,4,212449,33344,0,245793,Tier3,1
Workday,Software Engineer,"Atlanta, GA",Bootcamp,3,115117,9574,0,124691,Tier3,0
IBM,ML Engineer,"Denver, CO",Bachelor's,4,174376,28029,0,202405,Tier3,0
Oracle,Senior Data Scientist,"Denver, CO",PhD,0,164348,12838,0,177186,Tier3,0
Apple,Engineering Manager,"Denver, CO",Bootcamp,7,380297,36332,10594,427223,FAANG,0
Meta,Product Manager,Remote,Bootcamp,1,183426,20352,16728,220506,FAANG,0
Early Stage Startup,Software Engineer,"San Francisco, CA",Self-taught,0,168333,11565,0,179898,Startup,0
Workday,Principal Engineer,"Seattle, WA",Bachelor's,10,350409,79297,0,429706,Tier3,0
Apple,Software Engineer,"Seattle, WA",Bachelor's,15,409637,31711,10433,451781,FAANG,1
Amazon,Data Scientist,"Atlanta, GA",Master's,9,244509,31308,11820,287637,FAANG,0
Databricks,Senior Product Manager,"New York, NY",Bachelor's,5,308087,37850,34118,380055,Tier2,1
Series A Startup,Data Scientist,"Austin, TX",Bachelor's,8,156421,12439,0,168860,Startup,0
Stripe,Data Scientist,"Atlanta, GA",Bachelor's,3,136489,18475,18602,173566,Tier2,1
Early Stage Startup,Staff Engineer,"Austin, TX",Bachelor's,5,231388,13025,0,244413,Startup,0
ServiceNow,Staff Engineer,"New York, NY",Bachelor's,7,315022,22929,0,337951,Tier3,1
ServiceNow,ML Engineer,"Atlanta, GA",Master's,1,154157,35819,0,189976,Tier3,0
Meta,Staff Engineer,"Chicago, IL",Bachelor's,2,296213,19178,41625,357016,FAANG,1
ServiceNow,Senior Software Engineer,Remote,Bachelor's,1,179027,18310,0,197337,Tier3,1
Microsoft,Data Scientist,Remote,Master's,4,211640,33194,32113,276947,Tier2,1
Series A Startup,Staff Engineer,"San Francisco, CA",Bootcamp,0,240208,47651,0,287859,Startup,0
Stripe,Senior Product Manager,"New York, NY",Bachelor's,0,250944,23794,31158,305896,Tier2,0
Meta,Product Manager,"Boston, MA",Bachelor's,4,220888,43285,6399,270572,FAANG,0
Intuit,Software Engineer,"Austin, TX",Self-taught,1,131853,24339,0,156192,Tier3,1
Databricks,Engineering Manager,"Seattle, WA",Bachelor's,0,395178,19508,39243,453929,Tier2,1
Oracle,Senior Product Manager,"Seattle, WA",Master's,19,419297,31032,0,450329,Tier3,0
Series B Startup,Product Manager,"Denver, CO",Bachelor's,6,141769,12348,0,154117,Startup,0
IBM,Senior Product Manager,"Atlanta, GA",Bootcamp,4,182470,18786,0,201256,Tier3,0
Meta,Product Manager,"Seattle, WA",Master's,2,312523,20080,38424,371027,FAANG,1
Netflix,Software Engineer,"Denver, CO",Bachelor's,0,142719,16219,6687,165625,FAANG,0
Oracle,Engineering Manager,"Boston, MA",Master's,1,302995,54757,0,357752,Tier3,1
IBM,Product Manager,"Los Angeles, CA",Master's,16,280387,27923,0,308310,Tier3,0
Meta,Senior Data Scientist,"Denver, CO",Bachelor's,0,259635,41981,10557,312173,FAANG,0
SAP,Data Scientist,"Austin, TX",Bootcamp,5,126446,11016,0,137462,Tier3,0
Workday,Staff Engineer,"Boston, MA",Bachelor's,7,279794,44099,0,323893,Tier3,1
Google,Senior Product Manager,"Los Angeles, CA",Bachelor's,22,459699,81180,32847,573726,FAANG,1
Meta,Senior Product Manager,Remote,Self-taught,6,327892,48936,21215,398043,FAANG,0
Meta,Product Manager,"Los Angeles, CA",Bachelor's,9,301308,42385,40888,384581,FAANG,0
Apple,Principal Engineer,"New York, NY",Bachelor's,6,548476,51586,61288,661350,FAANG,1
Series A Startup,Principal Engineer,"Atlanta, GA",PhD,10,252177,43474,0,295651,Startup,1
Meta,Software Engineer,"Denver, CO",Bachelor's,1,173556,29509,11727,214792,FAANG,1
Apple,Senior Software Engineer,"New York, NY",Self-taught,4,291311,41281,12913,345505,FAANG,0
Microsoft,ML Engineer,"Chicago, IL",Bachelor's,6,240334,47026,20428,307788,Tier2,0
Workday,Senior Software Engineer,"San Francisco, CA",Bachelor's,0,224473,14725,0,239198,Tier3,0
Microsoft,ML Engineer,"Seattle, WA",Bootcamp,18,391372,39839,61192,492403,Tier2,1
IBM,Principal Engineer,"Denver, CO",Bachelor's,0,279853,32670,0,312523,Tier3,0
Databricks,Senior Product Manager,"Denver, CO",Bachelor's,0,215620,29786,6451,251857,Tier2,0
Google,Senior Software Engineer,"Chicago, IL",Bachelor's,6,278323,24392,59930,362645,FAANG,1
Series A Startup,Software Engineer,"Boston, MA",Master's,1,150118,13922,0,164040,Startup,1
Stripe,Senior Software Engineer,"New York, NY",Bachelor's,2,234986,24010,34179,293175,Tier2,1
Microsoft,Product Manager,"Atlanta, GA",Bachelor's,0,137613,10774,8283,156670,Tier2,0
Microsoft,Senior Software Engineer,"San Francisco, CA",Bachelor's,20,442203,79874,30889,552966,Tier2,1
Intuit,Engineering Manager,"Austin, TX",Master's,9,322394,20539,0,342933,Tier3,0
Google,ML Engineer,"San Francisco, CA",Bachelor's,1,389644,73158,22895,485697,FAANG,0
SAP,Product Manager,"Denver, CO",Self-taught,6,135947,13933,0,149880,Tier3,0
Meta,Principal Engineer,"Austin, TX",Master's,12,483491,37760,25135,546386,FAANG,1
Netflix,Senior Data Scientist,"Denver, CO",PhD,3,265710,31986,27517,325213,FAANG,0
Microsoft,Data Scientist,"Boston, MA",Bachelor's,3,190586,40069,9125,239780,Tier2,1
Microsoft,Product Manager,"Austin, TX",Master's,4,212669,39836,22325,274830,Tier2,1
Workday,Senior Data Scientist,"Austin, TX",Bachelor's,0,167623,28873,0,196496,Tier3,1
Google,Product Manager,"Chicago, IL",Bootcamp,2,197210,34432,22560,254202,FAANG,1
Salesforce,Staff Engineer,"Denver, CO",PhD,3,241400,14718,15038,271156,Tier2,0
Google,Data Scientist,"Boston, MA",PhD,0,262994,37049,9102,309145,FAANG,1
ServiceNow,Staff Engineer,"San Francisco, CA",Master's,0,319624,34922,0,354546,Tier3,0
Series A Startup,Product Manager,"Los Angeles, CA",Bachelor's,4,196296,20248,0,216544,Startup,0
Lyft,Staff Engineer,"Denver, CO",Bachelor's,0,250698,37749,10410,298857,Tier2,1
Series A Startup,Senior Data Scientist,"Los Angeles, CA",Bachelor's,2,224795,39726,0,264521,Startup,0
Apple,Principal Engineer,"Atlanta, GA",Bachelor's,1,343731,56628,43431,443790,FAANG,0
ServiceNow,Data Scientist,"New York, NY",Bachelor's,11,238172,31758,0,269930,Tier3,0
Oracle,Senior Product Manager,"Chicago, IL",Bachelor's,11,210837,16689,0,227526,Tier3,0
SAP,Senior Software Engineer,"Denver, CO",Bootcamp,7,175502,14202,0,189704,Tier3,0
Early Stage Startup,Senior Data Scientist,"Denver, CO",Self-taught,2,166254,13661,0,179915,Startup,0
Amazon,ML Engineer,"Boston, MA",Bachelor's,5,327927,34079,8428,370434,FAANG,0
Databricks,ML Engineer,Remote,Bachelor's,1,205306,37853,31501,274660,Tier2,0
Microsoft,Senior Product Manager,"Denver, CO",Master's,0,221509,39280,33028,293817,Tier2,1
Early Stage Startup,Principal Engineer,"Atlanta, GA",Bootcamp,0,213749,33505,0,247254,Startup,0
Airbnb,Engineering Manager,"San Francisco, CA",Bachelor's,11,537459,69742,50136,657337,Tier2,0
ServiceNow,Senior Data Scientist,Remote,Bachelor's,19,279151,54230,0,333381,Tier3,0
Netflix,Data Scientist,"Austin, TX",Bachelor's,3,210599,25361,6332,242292,FAANG,1
Airbnb,Staff Engineer,"Boston, MA",PhD,0,355128,66112,67620,488860,Tier2,0
Stripe,Engineering Manager,"Seattle, WA",Master's,5,411960,39520,45389,496869,Tier2,0
Workday,Senior Software Engineer,"Los Angeles, CA",Bachelor's,17,261280,37951,0,299231,Tier3,1
Amazon,Senior Software Engineer,"Denver, CO",Bachelor's,2,282147,23409,22826,328382,FAANG,1
Series A Startup,Senior Data Scientist,"Atlanta, GA",Bachelor's,3,154246,13899,0,168145,Startup,0
Stripe,ML Engineer,"Austin, TX",Bachelor's,0,199457,32888,29661,262006,Tier2,1
Airbnb,Senior Data Scientist,"Austin, TX",Bachelor's,1,230959,13378,12380,256717,Tier2,1
Google,Software Engineer,"Austin, TX",Self-taught,3,194031,22019,16301,232351,FAANG,1
Series A Startup,Data Scientist,"San Francisco, CA",Bachelor's,3,196638,19386,0,216024,Startup,1
Workday,Principal Engineer,"Boston, MA",Bachelor's,5,335286,37427,0,372713,Tier3,0
Microsoft,Senior Product Manager,"Denver, CO",Bachelor's,5,238866,33992,29814,302672,Tier2,1
ServiceNow,Software Engineer,"Austin, TX",Master's,0,104205,19042,0,123247,Tier3,0
Apple,Senior Data Scientist,"New York, NY",Bachelor's,4,308890,56204,15551,380645,FAANG,1
Series A Startup,Principal Engineer,Remote,Master's,3,318955,54753,0,373708,Startup,0
Netflix,Staff Engineer,"Denver, CO",Bachelor's,4,327488,70290,46795,444573,FAANG,0
ServiceNow,Engineering Manager,Remote,Bootcamp,1,276881,56980,0,333861,Tier3,0
Microsoft,Principal Engineer,"Denver, CO",Bootcamp,7,351053,48761,45090,444904,Tier2,0
Series B Startup,Principal Engineer,"San Francisco, CA",Bootcamp,11,457100,46702,0,503802,Startup,0
IBM,ML Engineer,Remote,Master's,0,158372,16316,0,174688,Tier3,0
Workday,Engineering Manager,Remote,Master's,18,338209,42572,0,380781,Tier3,1
Meta,Staff Engineer,"San Francisco, CA",Bachelor's,6,530746,73045,37624,641415,FAANG,0
Databricks,Product Manager,Remote,Bootcamp,8,219031,41494,11517,272042,Tier2,0
Google,Engineering Manager,"New York, NY",Self-taught,7,499597,78969,6994,585560,FAANG,0
ServiceNow,Product Manager,"Denver, CO",Bachelor's,0,146115,8599,0,154714,Tier3,0
Stripe,Staff Engineer,"Boston, MA",Bootcamp,10,340479,60740,33197,434416,Tier2,0
Amazon,Senior Software Engineer,"New York, NY",PhD,1,358005,46721,43715,448441,FAANG,0
Netflix,Engineering Manager,"San Francisco, CA",Bachelor's,0,490301,79479,19848,589628,FAANG,0
IBM,Senior Product Manager,"Boston, MA",Bachelor's,5,180030,11847,0,191877,Tier3,0
Uber,Principal Engineer,"Chicago, IL",PhD,11,362118,28066,31632,421816,Tier2,0
Amazon,Engineering Manager,"Austin, TX",Bootcamp,4,362324,35896,56747,454967,FAANG,1
Microsoft,Product Manager,"Denver, CO",PhD,5,234668,17150,27884,279702,Tier2,1
Google,Senior Product Manager,"Atlanta, GA",Bachelor's,0,256129,26024,8031,290184,FAANG,0
Apple,Engineering Manager,"San Francisco, CA",Bachelor's,25,780508,121226,112213,1013947,FAANG,0
Microsoft,Senior Data Scientist,"New York, NY",Bachelor's,2,270316,35094,32719,338129,Tier2,0
Google,Senior Software Engineer,"Denver, CO",Bachelor's,5,261119,21336,20862,303317,FAANG,0
Amazon,Staff Engineer,"San Francisco, CA",Bachelor's,3,566246,34016,15573,615835,FAANG,0
Lyft,Senior Data Scientist,"Boston, MA",Bachelor's,6,275759,47600,19788,343147,Tier2,0
Intuit,Senior Software Engineer,"New York, NY",Master's,9,256264,26608,0,282872,Tier3,1
Uber,Product Manager,"Seattle, WA",Bachelor's,1,245563,26453,8594,280610,Tier2,0
Microsoft,Senior Product Manager,"Denver, CO",Master's,6,256834,37782,44340,338956,Tier2,0
Apple,Software Engineer,"Seattle, WA",Bachelor's,12,341270,59632,18751,419653,FAANG,1
ServiceNow,Principal Engineer,"Austin, TX",Bachelor's,1,285833,24524,0,310357,Tier3,0
SAP,Data Scientist,"New York, NY",Bachelor's,0,174283,30928,0,205211,Tier3,1
Uber,Software Engineer,"Austin, TX",Master's,2,149561,9456,5818,164835,Tier2,1
Airbnb,Senior Product Manager,"Seattle, WA",Master's,0,338650,38613,14403,391666,Tier2,0
Uber,Senior Product Manager,"Chicago, IL",Master's,9,237818,15551,41676,295045,Tier2,1
SAP,Senior Data Scientist,"Boston, MA",Master's,2,205461,49808,0,255269,Tier3,1
Amazon,Senior Data Scientist,"Atlanta, GA",Bachelor's,2,259329,23076,19684,302089,FAANG,1
Series B Startup,Software Engineer,"Seattle, WA",Master's,11,207431,16545,0,223976,Startup,1
Airbnb,Software Engineer,"Denver, CO",Bachelor's,4,164462,24562,13600,202624,Tier2,0
Meta,Product Manager,"San Francisco, CA",Bachelor's,0,295715,23284,40013,359012,FAANG,1
Intuit,Senior Software Engineer,"Seattle, WA",Bachelor's,3,220258,17012,0,237270,Tier3,0
Intuit,Senior Software Engineer,"New York, NY",Bachelor's,18,276815,40739,0,317554,Tier3,1
Lyft,Senior Software Engineer,Remote,Bachelor's,0,214760,11203,8333,234296,Tier2,1
Series A Startup,Senior Product Manager,"Boston, MA",Bachelor's,8,215010,48035,0,263045,Startup,0
Netflix,Engineering Manager,"Boston, MA",Bachelor's,0,406224,49830,26692,482746,FAANG,0
Meta,Product Manager,"Boston, MA",Master's,3,303888,30532,27038,361458,FAANG,0
Databricks,Senior Data Scientist,"Boston, MA",Bachelor's,3,267468,39225,37978,344671,Tier2,0
Salesforce,Data Scientist,"Atlanta, GA",Bachelor's,6,163225,23131,12502,198858,Tier2,1
Apple,Principal Engineer,"New York, NY",Bachelor's,4,504161,90419,29313,623893,FAANG,0
Google,Senior Data Scientist,"San Francisco, CA",Bachelor's,13,540055,80302,19729,640086,FAANG,1
Lyft,Engineering Manager,Remote,Bootcamp,3,275537,38716,9182,323435,Tier2,1
Series A Startup,Product Manager,Remote,Master's,1,158709,22125,0,180834,Startup,1
Amazon,Senior Product Manager,"Los Angeles, CA",Bachelor's,0,304991,17961,54912,377864,FAANG,1
Intuit,Staff Engineer,"Denver, CO",Bachelor's,5,185410,20563,0,205973,Tier3,1
Series A Startup,Engineering Manager,"Atlanta, GA",Bachelor's,2,189181,15091,0,204272,Startup,1
Oracle,Senior Data Scientist,"Chicago, IL",Bootcamp,9,149623,10725,0,160348,Tier3,0
Databricks,Senior Data Scientist,"New York, NY",Bachelor's,6,265625,43361,12519,321505,Tier2,0
Lyft,Senior Data Scientist,"Los Angeles, CA",Bachelor's,0,288742,27038,17213,332993,Tier2,0
Oracle,Senior Product Manager,"New York, NY",Bachelor's,10,316486,19138,0,335624,Tier3,0
Intuit,Product Manager,"San Francisco, CA",Bootcamp,5,218021,36413,0,254434,Tier3,0
ServiceNow,Principal Engineer,Remote,Bachelor's,14,327436,63287,0,390723,Tier3,0
Salesforce,Senior Product Manager,"San Francisco, CA",Bachelor's,3,306443,36277,42434,385154,Tier2,1
Airbnb,Data Scientist,"Austin, TX",Self-taught,0,150433,31547,23712,205692,Tier2,0
Amazon,Software Engineer,"Seattle, WA",Bachelor's,3,284607,79865,28721,393193,FAANG,1
Series A Startup,Senior Product Manager,"Austin, TX",PhD,3,197505,22532,0,220037,Startup,0
Oracle,Product Manager,"Atlanta, GA",Bachelor's,2,141047,26034,0,167081,Tier3,1
IBM,Staff Engineer,"Denver, CO",Self-taught,1,215823,44428,0,260251,Tier3,0
Early Stage Startup,Principal Engineer,"Chicago, IL",Bachelor's,4,282302,41878,0,324180,Startup,0
Meta,Software Engineer,"Boston, MA",Bachelor's,2,231750,36524,32288,300562,FAANG,0
Stripe,Senior Product Manager,"Austin, TX",Master's,0,248721,18833,11101,278655,Tier2,1
Stripe,Senior Data Scientist,"Atlanta, GA",Bachelor's,1,215409,29968,33167,278544,Tier2,0
Intuit,Senior Product Manager,"Boston, MA",Master's,1,222657,10780,0,233437,Tier3,0
Workday,Engineering Manager,"Seattle, WA",Master's,5,353808,74097,0,427905,Tier3,1
Lyft,Engineering Manager,"Austin, TX",Bachelor's,15,357395,20078,24739,402212,Tier2,1
ServiceNow,Staff Engineer,"Los Angeles, CA",Bachelor's,0,271678,37437,0,309115,Tier3,1
Microsoft,ML Engineer,"San Francisco, CA",Bachelor's,11,355405,21713,39838,416956,Tier2,1
Series A Startup,Principal Engineer,"Seattle, WA",Master's,4,353757,66908,0,420665,Startup,0
SAP,ML Engineer,"Seattle, WA",PhD,4,218090,16318,0,234408,Tier3,1
Google,Engineering Manager,"New York, NY",Bootcamp,0,425217,38572,24041,487830,FAANG,1
Netflix,Data Scientist,Remote,Bachelor's,8,306452,52444,8132,367028,FAANG,0
Google,Engineering Manager,"Los Angeles, CA",Bachelor's,7,537266,54689,56935,648890,FAANG,0
Netflix,Senior Software Engineer,"Los Angeles, CA",Master's,1,306861,27090,48297,382248,FAANG,1
IBM,Data Scientist,"Los Angeles, CA",Bachelor's,9,199987,20575,0,220562,Tier3,1
Stripe,ML Engineer,"Los Angeles, CA",Bootcamp,10,260758,38141,35450,334349,Tier2,1
Google,Product Manager,"Boston, MA",Bachelor's,1,286914,21238,26801,334953,FAANG,0
Uber,Senior Software Engineer,"Seattle, WA",Bachelor's,2,251192,39302,42479,332973,Tier2,0
Meta,Engineering Manager,"New York, NY",Bootcamp,4,460217,30399,46503,537119,FAANG,1
Amazon,Software Engineer,"New York, NY",Bachelor's,1,240465,20891,11025,272381,FAANG,0
Early Stage Startup,Senior Software Engineer,"New York, NY",Master's,3,197128,29386,0,226514,Startup,0
Salesforce,Data Scientist,Remote,Bachelor's,0,140317,18648,15380,174345,Tier2,0
Microsoft,Engineering Manager,"Denver, CO",Bachelor's,0,241660,43543,25300,310503,Tier2,1
ServiceNow,Software Engineer,"Los Angeles, CA",PhD,6,180673,24428,0,205101,Tier3,0
Intuit,ML Engineer,"Los Angeles, CA",PhD,3,183372,26680,0,210052,Tier3,1
Intuit,Senior Data Scientist,"San Francisco, CA",Bachelor's,7,277858,34428,0,312286,Tier3,0
Series B Startup,Senior Product Manager,"Los Angeles, CA",Master's,0,202433,44209,0,246642,Startup,1
Lyft,Senior Software Engineer,"Boston, MA",Self-taught,1,197732,41499,9771,249002,Tier2,1
Salesforce,Senior Product Manager,"Denver, CO",Bootcamp,1,199501,16592,15091,231184,Tier2,0
Intuit,Senior Data Scientist,"San Francisco, CA",PhD,15,301949,23877,0,325826,Tier3,0
Airbnb,Principal Engineer,"New York, NY",Bachelor's,0,429426,78758,47710,555894,Tier2,0
Uber,Senior Product Manager,"Seattle, WA",Bootcamp,3,291971,31188,38504,361663,Tier2,0
Meta,Senior Product Manager,"Austin, TX",Bachelor's,1,292268,48991,41034,382293,FAANG,0
Amazon,Principal Engineer,"Chicago, IL",Bachelor's,7,442090,30300,20795,493185,FAANG,0
Meta,Principal Engineer,"New York, NY",Master's,7,565802,63801,80615,710218,FAANG,0
Databricks,Software Engineer,"Seattle, WA",Bachelor's,0,176300,18919,13995,209214,Tier2,0
Lyft,Senior Data Scientist,"Atlanta, GA",Bachelor's,1,187457,20875,5262,213594,Tier2,0
Airbnb,Staff Engineer,"Los Angeles, CA",Bachelor's,0,330167,49971,25345,405483,Tier2,0
ServiceNow,Senior Data Scientist,"San Francisco, CA",Bootcamp,4,289656,30555,0,320211,Tier3,0
Netflix,Senior Software Engineer,"Los Angeles, CA",Master's,8,410141,61188,41872,513201,FAANG,0
Meta,Senior Data Scientist,"Seattle, WA",Bachelor's,10,431701,85181,32659,549541,FAANG,0
SAP,Product Manager,"Denver, CO",Master's,3,166255,12054,0,178309,Tier3,1
Early Stage Startup,Senior Data Scientist,"San Francisco, CA",Bachelor's,9,272494,24486,0,296980,Startup,0
Meta,Staff Engineer,"Denver, CO",Bachelor's,2,295139,35365,42249,372753,FAANG,1
Amazon,ML Engineer,"Denver, CO",Bachelor's,0,246368,42535,17804,306707,FAANG,1
Salesforce,Principal Engineer,"Austin, TX",Master's,9,428485,24064,21265,473814,Tier2,1
Microsoft,Engineering Manager,"New York, NY",Bachelor's,2,399602,80705,16220,496527,Tier2,0
Google,Data Scientist,"Austin, TX",Self-taught,7,239612,33707,17164,290483,FAANG,1
Uber,Software Engineer,"Denver, CO",Bachelor's,0,145056,13650,6407,165113,Tier2,1
Workday,ML Engineer,"Denver, CO",Master's,3,162463,18610,0,181073,Tier3,0
Uber,Senior Data Scientist,"Seattle, WA",Bachelor's,8,385592,22347,53747,461686,Tier2,1
ServiceNow,Data Scientist,"Los Angeles, CA",Bootcamp,2,159682,13716,0,173398,Tier3,1
Netflix,Senior Product Manager,"Austin, TX",Self-taught,4,294917,42177,33493,370587,FAANG,1
Salesforce,ML Engineer,"Austin, TX",Master's,14,296411,44733,12930,354074,Tier2,0
Series B Startup,Principal Engineer,"Seattle, WA",PhD,1,367184,17765,0,384949,Startup,0
Series B Startup,Product Manager,"Austin, TX",Self-taught,4,117600,7593,0,125193,Startup,1
Uber,Data Scientist,"Boston, MA",Master's,5,233666,45519,13815,293000,Tier2,0
Amazon,Software Engineer,"Boston, MA",Master's,1,247608,22118,24123,293849,FAANG,0
ServiceNow,Product Manager,"Boston, MA",Bachelor's,1,156679,20460,0,177139,Tier3,0
Workday,Senior Product Manager,"Chicago, IL",Bachelor's,0,193654,15158,0,208812,Tier3,0
Early Stage Startup,Staff Engineer,"Los Angeles, CA",Bootcamp,1,226025,36492,0,262517,Startup,1
Series A Startup,Engineering Manager,"San Francisco, CA",Self-taught,2,347017,65510,0,412527,Startup,0
Uber,Data Scientist,"Austin, TX",Bachelor's,9,208761,20999,13070,242830,Tier2,0
ServiceNow,Staff Engineer,"Seattle, WA",Bachelor's,1,248731,35498,0,284229,Tier3,1
Uber,Principal Engineer,"Chicago, IL",Bachelor's,6,389231,28296,30726,448253,Tier2,0
Early Stage Startup,Senior Data Scientist,"Seattle, WA",Master's,2,234386,12624,0,247010,Startup,1
Meta,Product Manager,"New York, NY",Master's,9,397432,39552,42940,479924,FAANG,0
Google,Engineering Manager,"New York, NY",Self-taught,0,417555,111198,38117,566870,FAANG,1
IBM,Engineering Manager,"New York, NY",Master's,3,339630,56488,0,396118,Tier3,0
Series A Startup,Senior Data Scientist,"Austin, TX",Bachelor's,7,182910,23384,0,206294,Startup,1
Early Stage Startup,Data Scientist,"New York, NY",Bachelor's,5,147588,12838,0,160426,Startup,0
Airbnb,Senior Software Engineer,"Seattle, WA",PhD,2,318263,51714,7479,377456,Tier2,0
Amazon,ML Engineer,"New York, NY",Bootcamp,7,321701,29556,41490,392747,FAANG,1
ServiceNow,ML Engineer,"Denver, CO",Bachelor's,1,145229,6888,0,152117,Tier3,1
Workday,Senior Product Manager,"Boston, MA",Bachelor's,11,270218,35436,0,305654,Tier3,1
Amazon,Product Manager,"New York, NY",Bootcamp,2,234150,20236,17228,271614,FAANG,1
SAP,Engineering Manager,"Atlanta, GA",Bachelor's,9,244831,22112,0,266943,Tier3,1
SAP,Senior Software Engineer,"New York, NY",Bachelor's,1,201246,19723,0,220969,Tier3,1
SAP,ML Engineer,"Atlanta, GA",Bachelor's,4,151142,29627,0,180769,Tier3,1
Series B Startup,Data Scientist,"Austin, TX",Bachelor's,15,207519,29379,0,236898,Startup,0
Microsoft,Data Scientist,"Los Angeles, CA",Bootcamp,8,261868,12319,23988,298175,Tier2,1
Stripe,Senior Data Scientist,"Los Angeles, CA",Bachelor's,3,232331,20015,22623,274969,Tier2,0
Amazon,Engineering Manager,"Seattle, WA",Bachelor's,4,526809,37746,80573,645128,FAANG,1
Series B Startup,Principal Engineer,"Denver, CO",Master's,10,255359,55112,0,310471,Startup,1
Microsoft,Staff Engineer,"Denver, CO",Bachelor's,8,296737,36787,21533,355057,Tier2,0
Lyft,Data Scientist,Remote,Bachelor's,4,206453,11913,23018,241384,Tier2,0
Google,Senior Product Manager,"Seattle, WA",Bootcamp,0,342212,47678,26536,416426,FAANG,0
Google,ML Engineer,"New York, NY",Master's,1,333561,29052,42982,405595,FAANG,0
Amazon,ML Engineer,"San Francisco, CA",Bootcamp,0,340334,19246,9188,368768,FAANG,1
Lyft,Data Scientist,"Austin, TX",Master's,0,165634,29091,18230,212955,Tier2,0
Series A Startup,Senior Software Engineer,"Chicago, IL",PhD,6,180359,22365,0,202724,Startup,0
Stripe,Principal Engineer,"Los Angeles, CA",Bachelor's,4,481778,43259,18989,544026,Tier2,1
Series A Startup,Senior Data Scientist,"Seattle, WA",Bachelor's,3,219772,12392,0,232164,Startup,1
Series B Startup,Staff Engineer,"Boston, MA",Bachelor's,5,279667,32731,0,312398,Startup,0
ServiceNow,Software Engineer,"Atlanta, GA",Self-taught,1,103351,12762,0,116113,Tier3,0
ServiceNow,Data Scientist,"Austin, TX",PhD,6,165886,31923,0,197809,Tier3,0
Airbnb,Principal Engineer,"Boston, MA",Bachelor's,2,382228,61797,18956,462981,Tier2,1
Databricks,Software Engineer,"Boston, MA",PhD,1,191842,30474,6356,228672,Tier2,0
Lyft,Data Scientist,"New York, NY",Bachelor's,2,243954,19352,29372,292678,Tier2,0
Google,Senior Product Manager,"San Francisco, CA",Master's,3,448980,62900,23838,535718,FAANG,0
IBM,Principal Engineer,"Atlanta, GA",Bachelor's,2,266151,32912,0,299063,Tier3,0
Salesforce,Engineering Manager,"New York, NY",PhD,2,358679,31415,20964,411058,Tier2,0
Salesforce,ML Engineer,"San Francisco, CA",Bachelor's,1,272751,52290,27940,352981,Tier2,0
Airbnb,Product Manager,"Boston, MA",Bootcamp,2,187296,32091,8567,227954,Tier2,0
Databricks,Data Scientist,"Seattle, WA",Bachelor's,6,253415,18356,10694,282465,Tier2,1
Oracle,Senior Software Engineer,"Austin, TX",Bachelor's,2,196550,29704,0,226254,Tier3,0
Amazon,Engineering Manager,"Atlanta, GA",Master's,2,341421,12291,25556,379268,FAANG,0
ServiceNow,Software Engineer,"Atlanta, GA",Master's,1,115443,18422,0,133865,Tier3,0
Series A Startup,Product Manager,"New York, NY",Bachelor's,5,181474,18211,0,199685,Startup,0
Netflix,Senior Data Scientist,"New York, NY",Master's,10,312095,59028,17889,389012,FAANG,0
Lyft,Software Engineer,"New York, NY",Master's,0,218617,22782,10442,251841,Tier2,0
Lyft,Senior Software Engineer,"Boston, MA",Bachelor's,8,304043,30022,51002,385067,Tier2,0
Airbnb,Software Engineer,"Austin, TX",PhD,4,188829,11577,39949,240355,Tier2,1
Workday,Senior Data Scientist,"Boston, MA",Bachelor's,7,240838,24154,0,264992,Tier3,1
Uber,Staff Engineer,"Austin, TX",Bachelor's,1,267444,38622,9880,315946,Tier2,0
